HIDROREY INDUSTRIAL,,,,,,,,,,,,,,,,,,,
Fecha:,,15/12/2025,,,,Catálogo de Productos,,,,,,,,,,Página:,,1,
Hora:,,14:23:05,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Clase,,,Clave,Nombre,Atributo,,Unidad,Grupo,,Subgrupo,Ma. Lo.,D. Vi.,,Tipo de Producto,,,,,Clave SAT
,"TRIFASICO 220V/440V BRIDA 213TC 2 polos alta velocidad
12906562",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
SHOPVAC,,,0077025,BOLSA  FILTRO  POLVO FINO 10-14 GAL SERV,,,-,,,,,,,VARIOS,,,,,
,,,,,,,,,,,,,,,,,,,
ALTA PRESI,,,0090200,WARNICION DE BRONCE,,,JUEGO,COMET PUMP,,,,,,REPUESTOS,,,,,
,,,,,,,,,,,,,,,,,,,
LIMPIEZA,,,00911,KEY SQ 0.19 X 0.19 0.75L,,,PIEZA,TENNANT,,BARREDORAS,,,,REFACCIONES,,,,,
,,,,,,,,,,,,,,,,,,,
LIMPIEZA,,,00926,"KEY, SQ, 0.25 X 0.25, 0.75L",,,PIEZA,TENNANT,,,,,,REFACCIONES,,,,47121600,
,,,,,,,,,,,,,,,,,,,
LIMPIEZA,,,00927,"KEY, SQ, 0.25 X 0.25, 1.25L",,,PIEZA,TENNANT,,,,,,REFACCIONES,,,,47121600,
,,,,,,,,,,,,,,,,,,,
LIMPIEZA,,,00928,"KEY, SQ, 0.25 X 0.25, 1.00L",,,PIEZA,TENNANT,,,,,,REFACCIONES,,,,47121600,
,,,,,,,,,,,,,,,,,,,
LIMPIEZA,,,00954,"KEY, SQ, 0.12 X 0.12, 1.00L",,,PIEZA,TENNANT,,,,,,REFACCIONES,,,,47121600,
,,,,,,,,,,,,,,,,,,,
LIMPIEZA,,,00960,"KEY, SQ, 0.12 X 0.12, 0.50L",,,PIEZA,TENNANT,,,,,,REFACCIONES,,,,,
,,,,,,,,,,,,,,,,,,,
LIMPIEZA,,,00961,"KEY, SQ, 0.19 X 0.19, 0.50L",,,PIEZA,TENNANT,,,,,,REFACCIONES,,,,47121600,
,,,,,,,,,,,,,,,,,,,
ALTA PRESI,,,01011-0400,"SPRING RING, 303 S.S.",,,PIEZA,GIANT PUMP,,P420-5100,,,,REPUESTOS,,,,,
,"SPRING RING, 303 S.S.",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
POTENCIA,,,01012ET3EM256TCW,MOTOR WEG 10HP TRIFASICO 1200RPM BRIDAC,,,PIEZA,MOTORES,,ELECTRICO,,,,MOTORES,,,,26101100,
